WL,n,k
210.31,1.3116,2.8035
211.9,1.3277,2.8291
213.49,1.3442,2.855
215.08,1.361,2.8812
216.67,1.3781,2.9077
218.26,1.3955,2.9344
219.85,1.4133,2.9615
221.44,1.4315,2.9889
223.03,1.45,3.0166
224.62,1.4689,3.0446
226.21,1.4881,3.073
227.81,1.5078,3.1018
229.4,1.5278,3.1309
230.99,1.5482,3.1605
232.58,1.5691,3.1905
234.17,1.5903,3.2209
235.76,1.6119,3.2519
237.36,1.6339,3.2834
238.95,1.6563,3.3156
240.54,1.6791,3.3485
242.13,1.7023,3.3822
243.72,1.726,3.4169
245.32,1.7501,3.4527
246.91,1.7749,3.4897
248.5,1.8005,3.5282
250.09,1.8269,3.5683
251.69,1.8545,3.6103
253.28,1.8836,3.6543
254.87,1.9146,3.7004
256.47,1.948,3.7488
258.06,1.9843,3.7993
259.65,2.0241,3.852
261.25,2.0679,3.9064
262.84,2.1164,3.9623
264.43,2.1702,4.0192
266.03,2.2296,4.0762
267.62,2.2951,4.1328
269.21,2.3668,4.1879
270.81,2.4449,4.2407
272.4,2.5291,4.2903
273.99,2.6191,4.3356
275.59,2.7145,4.3759
277.18,2.8147,4.4103
278.78,2.9189,4.4383
280.37,3.0263,4.4593
281.96,3.1359,4.4729
283.56,3.2468,4.4789
285.15,3.3581,4.4774
286.75,3.4687,4.4683
288.34,3.5779,4.4521
289.94,3.6848,4.429
291.53,3.7888,4.3995
293.13,3.8891,4.3643
294.72,3.9854,4.324
296.31,4.0773,4.2791
297.91,4.1645,4.2306
299.5,4.2469,4.1789
301.1,4.3246,4.1248
302.69,4.3975,4.0689
304.29,4.4658,4.0117
305.88,4.5298,3.9538
307.48,4.5898,3.8955
309.08,4.646,3.8371
310.67,4.6989,3.779
312.27,4.7486,3.7213
313.86,4.7956,3.6641
315.46,4.8401,3.6074
317.05,4.8824,3.5513
318.65,4.9227,3.4958
320.24,4.9611,3.4407
321.84,4.9978,3.386
323.43,5.0329,3.3317
325.03,5.0663,3.2778
326.63,5.0981,3.2241
328.22,5.1282,3.1708
329.82,5.1567,3.1179
331.41,5.1836,3.0655
333.01,5.2089,3.0137
334.61,5.2327,2.9628
336.2,5.2551,2.9129
337.8,5.2764,2.8642
339.39,5.2969,2.8167
340.99,5.3169,2.7705
342.59,5.3369,2.7255
344.18,5.3572,2.6815
345.78,5.3781,2.6383
347.38,5.4,2.5954
348.97,5.4229,2.5522
350.57,5.447,2.5083
352.17,5.4719,2.4631
353.76,5.4975,2.416
355.36,5.5233,2.3667
356.96,5.5487,2.3147
358.55,5.5731,2.26
360.15,5.5958,2.2025
361.75,5.6162,2.1425
363.34,5.6336,2.0803
364.94,5.6477,2.0164
366.54,5.658,1.9512
368.13,5.6644,1.8854
369.73,5.6668,1.8196
371.33,5.6651,1.7545
372.92,5.6597,1.6905
374.52,5.6507,1.6282
376.12,5.6386,1.568
377.71,5.6237,1.5101
379.31,5.6065,1.4548
380.91,5.5874,1.4022
382.51,5.5667,1.3524
384.1,5.5449,1.3053
385.7,5.5224,1.2608
387.3,5.4993,1.2189
388.89,5.476,1.1793
390.49,5.4526,1.1418
392.09,5.4293,1.1064
393.68,5.4063,1.0727
395.28,5.3835,1.0408
396.88,5.361,1.0103
398.48,5.3389,0.98116
400.07,5.3172,0.95328
401.67,5.2958,0.92654
403.27,5.2748,0.90082
404.87,5.2542,0.87607
406.46,5.2339,0.8522
408.06,5.2139,0.82917
409.66,5.1942,0.80691
411.25,5.1748,0.7854
412.85,5.1557,0.76458
414.45,5.1368,0.74444
416.05,5.1182,0.72493
417.64,5.0999,0.70604
419.24,5.0818,0.68774
420.84,5.0639,0.67001
422.44,5.0462,0.65283
424.03,5.0288,0.63617
425.63,5.0116,0.62003
427.23,4.9947,0.60437
428.83,4.9779,0.5892
430.42,4.9614,0.57448
432.02,4.945,0.5602
433.62,4.9289,0.54635
435.21,4.913,0.53292
436.81,4.8973,0.51989
438.41,4.8818,0.50724
440.01,4.8666,0.49496
441.6,4.8515,0.48305
443.2,4.8366,0.47148
444.8,4.8219,0.46025
446.4,4.8075,0.44935
447.99,4.7932,0.43876
449.59,4.7791,0.42847
451.19,4.7652,0.41847
452.78,4.7515,0.40876
454.38,4.738,0.39932
455.98,4.7246,0.39015
457.58,4.7115,0.38123
459.17,4.6985,0.37257
460.77,4.6857,0.36414
462.37,4.6731,0.35594
463.96,4.6607,0.34796
465.56,4.6484,0.34021
467.16,4.6363,0.33266
468.76,4.6244,0.32531
470.35,4.6126,0.31816
471.95,4.601,0.3112
473.55,4.5895,0.30443
475.14,4.5782,0.29783
476.74,4.5671,0.29141
478.34,4.5561,0.28515
479.93,4.5453,0.27906
481.53,4.5346,0.27312
483.13,4.524,0.26733
484.73,4.5136,0.2617
486.32,4.5034,0.2562
487.92,4.4932,0.25084
489.52,4.4832,0.24562
491.11,4.4734,0.24053
492.71,4.4637,0.23556
494.31,4.4541,0.23072
495.9,4.4446,0.22599
497.5,4.4353,0.22138
499.1,4.4261,0.21689
500.69,4.417,0.2125
502.29,4.408,0.20822
503.88,4.3991,0.20403
505.48,4.3904,0.19995
507.08,4.3818,0.19597
508.67,4.3733,0.19208
510.27,4.3649,0.18828
511.87,4.3566,0.18457
513.46,4.3484,0.18095
515.06,4.3403,0.17741
516.65,4.3323,0.17395
518.25,4.3245,0.17057
519.85,4.3167,0.16727
521.44,4.309,0.16404
523.04,4.3014,0.16088
524.63,4.2939,0.1578
526.23,4.2865,0.15479
527.83,4.2792,0.15184
529.42,4.272,0.14896
531.02,4.2649,0.14614
532.61,4.2579,0.14338
534.21,4.2509,0.14069
535.8,4.2441,0.13805
537.4,4.2373,0.13547
539,4.2306,0.13294
540.59,4.224,0.13047
542.19,4.2175,0.12806
543.78,4.211,0.12569
545.38,4.2047,0.12338
546.97,4.1984,0.12111
548.57,4.1921,0.11889
550.16,4.186,0.11672
551.76,4.1799,0.11459
553.35,4.1739,0.11251
554.95,4.168,0.11047
556.54,4.1621,0.10847
558.14,4.1563,0.10652
559.73,4.1506,0.1046
561.33,4.1449,0.10272
562.92,4.1393,0.10088
564.51,4.1338,0.099081
566.11,4.1283,0.097316
567.7,4.1229,0.095586
569.3,4.1176,0.093891
570.89,4.1123,0.092229
572.49,4.1071,0.090601
574.08,4.1019,0.089005
575.67,4.0968,0.08744
577.27,4.0917,0.085906
578.86,4.0868,0.084402
580.46,4.0818,0.082927
582.05,4.0769,0.081481
583.64,4.0721,0.080064
585.24,4.0673,0.078673
586.83,4.0626,0.077309
588.42,4.0579,0.075972
590.02,4.0533,0.07466
591.61,4.0487,0.073373
593.2,4.0442,0.07211
594.8,4.0397,0.070872
596.39,4.0353,0.069657
597.98,4.0309,0.068464
599.57,4.0266,0.067294
601.17,4.0223,0.066146
602.76,4.018,0.065019
604.35,4.0138,0.063914
605.95,4.0097,0.062828
607.54,4.0056,0.061763
609.13,4.0015,0.060717
610.72,3.9975,0.059691
612.31,3.9935,0.058683
613.91,3.9895,0.057694
615.5,3.9856,0.056723
617.09,3.9818,0.055769
618.68,3.978,0.054833
620.27,3.9742,0.053914
621.87,3.9704,0.053011
623.46,3.9667,0.052124
625.05,3.963,0.051253
626.64,3.9594,0.050398
628.23,3.9558,0.049558
629.82,3.9522,0.048733
631.41,3.9487,0.047922
633,3.9452,0.047126
634.59,3.9418,0.046344
636.18,3.9383,0.045575
637.78,3.9349,0.044821
639.37,3.9316,0.044079
640.96,3.9283,0.04335
642.55,3.925,0.042634
644.14,3.9217,0.04193
645.73,3.9185,0.041239
647.32,3.9153,0.040559
648.91,3.9121,0.039891
650.5,3.909,0.039235
652.09,3.9058,0.03859
653.68,3.9028,0.037956
655.27,3.8997,0.037333
656.85,3.8967,0.03672
658.44,3.8937,0.036118
660.03,3.8907,0.035526
661.62,3.8878,0.034944
663.21,3.8849,0.034372
664.8,3.882,0.033809
666.39,3.8791,0.033256
667.98,3.8763,0.032713
669.57,3.8735,0.032178
671.15,3.8707,0.031652
672.74,3.868,0.031136
674.33,3.8652,0.030627
675.92,3.8625,0.030128
677.51,3.8599,0.029636
679.09,3.8572,0.029153
680.68,3.8546,0.028677
682.27,3.852,0.02821
683.86,3.8494,0.02775
685.44,3.8468,0.027298
687.03,3.8443,0.026853
688.62,3.8417,0.026415
690.2,3.8393,0.025985
691.79,3.8368,0.025562
693.38,3.8343,0.025145
694.96,3.8319,0.024736
696.55,3.8295,0.024333
698.14,3.8271,0.023936
699.72,3.8247,0.023546
701.31,3.8224,0.023162
702.89,3.8201,0.022785
704.48,3.8178,0.022413
706.07,3.8155,0.022048
707.65,3.8132,0.021688
709.24,3.8109,0.021335
710.82,3.8087,0.020986
712.41,3.8065,0.020644
713.99,3.8043,0.020307
715.58,3.8021,0.019975
717.16,3.8,0.019649
718.74,3.7978,0.019328
720.33,3.7957,0.019012
721.91,3.7936,0.0187
723.5,3.7915,0.018394
725.08,3.7895,0.018093
726.66,3.7874,0.017797
728.25,3.7854,0.017505
729.83,3.7834,0.017218
731.42,3.7814,0.016935
733,3.7794,0.016657
734.58,3.7774,0.016383
736.16,3.7755,0.016113
737.75,3.7735,0.015848
739.33,3.7716,0.015587
740.91,3.7697,0.01533
742.49,3.7678,0.015077
744.08,3.7659,0.014828
745.66,3.7641,0.014583
747.24,3.7622,0.014342
748.82,3.7604,0.014104
750.4,3.7586,0.01387
751.98,3.7568,0.01364
753.57,3.755,0.013413
755.15,3.7532,0.01319
756.73,3.7515,0.012971
758.31,3.7497,0.012755
759.89,3.748,0.012542
761.47,3.7463,0.012332
763.05,3.7446,0.012126
764.63,3.7429,0.011923
766.21,3.7412,0.011723
767.79,3.7395,0.011526
769.37,3.7379,0.011333
770.95,3.7362,0.011142
772.53,3.7346,0.010954
774.11,3.733,0.010769
775.68,3.7314,0.010587
777.26,3.7298,0.010408
778.84,3.7282,0.010231
780.42,3.7267,0.010058
782,3.7251,0.0098865
783.58,3.7236,0.0097181
785.15,3.722,0.0095522
786.73,3.7205,0.009389
788.31,3.719,0.0092282
789.89,3.7175,0.00907
791.46,3.716,0.0089141
793.04,3.7145,0.0087607
794.62,3.7131,0.0086097
796.19,3.7116,0.0084609
797.77,3.7102,0.0083145
799.35,3.7087,0.0081703
800.92,3.7073,0.0080283
802.5,3.7059,0.0078886
804.08,3.7045,0.007751
